                         Earth Close-Approach Date     Miss Distance                                                         
                         -------------------------   ------------------                                        Obs.          
                           Nominal Date       +/-      Nominal    Min.    Vrel   Impact           H     Num.   Arc   Orbit   
      Asteroid           YYYY-mmm-DD HH:MM  D/HH:MM  (LD)  (AU)   (AU)   (km/s)   Prob.   N-sig  (Vm)   Obs.   (d)   Ref.    
-----------------------  ----------------- --------  ---- ------ ------  ------  -------  -----  ----  -----  -----  --------
      1999 TO13          1999-Oct-05 06:31    00:01  12.3 0.0315 0.0312   14.96  < 1e-09  2.8e2  21.3    94       8  JPL#13  
      1999 SG10          1999-Oct-14 03:51 <  00:01  35.5 0.0913 0.0909   19.77  < 1e-09  6.9e2  20.6    83      17  JPL#22  
      1999 UR            1999-Oct-22 17:56    00:01  18.4 0.0473 0.0470   10.01  < 1e-09  3.2e2  21.5    54       4  JPL#02  
      1999 VF22          1999-Oct-31 13:48    00:13  14.7 0.0377 0.0372   25.54  < 1e-09  3.0e2  20.6    59       4  JPL#02  
      1999 VR6           1999-Nov-18 05:31 <  00:01  30.2 0.0777 0.0759   21.58  < 1e-09  1.1e2  21.1    68       7  JPL#04  
      1999 KW4           2000-May-29 04:02    00:05  50.2 0.1291 0.1290   19.64  < 1e-09  8.1e4  16.6   252      56  JPL#42  
      1999 MN            2000-Jun-02 09:50    02:47  59.9 0.1539 0.1457   20.29  < 1e-09  1.4e4  21.6    45      25  JPL#14  
      1999 JV6           2000-Jun-16 23:58    11:23  63.3 0.1625 0.1589    5.84  < 1e-09  9.5e3  20.0    93      21  JPL#17  
      1986 JK            2000-Jul-11 18:48    22:46  47.4 0.1219 0.1215   11.51  < 1e-09  3.4e5  19.0    90*    179  JPL#18  
      1998 BB10          2000-Jul-27 14:16    19:22  34.5 0.0886 0.0799   11.48  < 1e-09  8.0e3  20.5   104      52  JPL#04  
 4486 Mithra             2000-Aug-14 08:14    00:02  18.1 0.0465 0.0465   17.57  < 1e-09  7.1e4  15.6    64    9067  JPL#07  
 2340 Hathor             2000-Oct-25 05:58 <  00:01  76.7 0.1970 0.1970   19.42  < 1e-09  2.5e5  19.2    72    7739  JPL#10  
 4179 Toutatis           2000-Oct-31 04:28 <  00:01  28.7 0.0739 0.0739    9.71  < 1e-09  7.7e7  15.3   711*   3216  JPL#69  
      1994 XL1           2000-Nov-26 05:19    16:05  59.6 0.1532 0.1370   17.05  < 1e-09  9.4e4  20.5    75      16  JPL#03  
      1998 FG2           2000-Dec-19        2/20:40  61.9 0.1589 0.1581    7.57  < 1e-09  5.1e4  21.5   103      70  JPL#01  
 4183 Cuno               2000-Dec-22 19:04 <  00:01  55.5 0.1427 0.1427   21.20  < 1e-09  2.2e5  14.4   173   14674  JPL#11  
      1998 VD35          2001-Jan-02 05:11    04:04  38.7 0.0995 0.0991   11.29  < 1e-09  1.1e5  20.4    30     189  JPL#16  
      1994 WR12          2001-Jan-17 11:41    07:28  52.5 0.1349 0.0987   12.33  < 1e-09  1.0e5  22.0    17      35  JPL#11  
      1998 WT            2001-Feb-26 21:11    06:37  57.5 0.1477 0.1411   22.91  < 1e-09  2.5e3  17.3    70      34  JPL#13  
      1998 SF36          2001-Mar-28 22:07    21:20  16.9 0.0433 0.0377    7.06  < 1e-09  5.4e3  18.8    50      46  JPL#12  
 4034 1986 PA            2001-Apr-03 01:06 <  00:01  57.0 0.1465 0.1465   12.49  < 1e-09  3.0e5  18.1    96*   4754  JPL#07  
      1999 KW4           2001-May-25 23:28    00:06  12.6 0.0323 0.0322   20.47  < 1e-09  2.0e4  16.6   252      56  JPL#42  
      1998 HD14          2001-Aug-26 06:14    00:07  29.4 0.0755 0.0755    9.82  < 1e-09  6.8e3  21.0    55     392  JPL#05  
      1998 ST27          2001-Oct-12 03:20    00:19  24.0 0.0618 0.0611   15.77  < 1e-09  1.4e3  19.5    79      27  JPL#16  
      1998 WT24          2001-Dec-16 07:29    09:53   4.8 0.0123 0.0114    8.89  < 1e-09  7.2e3  17.7    43      33  JPL#11  
 3362 Khufu              2001-Dec-29 11:01 <  00:01  62.1 0.1596 0.1596   13.11  < 1e-09  4.0e5  18.3   153    5216  JPL#06  
 4660 Nereus             2002-Jan-22 12:35    00:23  11.3 0.0290 0.0290    5.42  < 1e-09  3.7e4  18.2    32    5813  JPL#09  
 3361 Orpheus            2002-Jan-27 20:33    00:01  66.0 0.1695 0.1695    7.66  < 1e-09  8.9e5  19.0    84    5908  JPL#04  
      1999 JT6           2002-Mar-09 18:04    03:34  74.4 0.1911 0.1902   13.69  < 1e-09  4.1e4  16.2   141     193  JPL#26  
      1999 GU3           2002-Apr-19 16:23    00:32  31.6 0.0813 0.0811    9.70  < 1e-09  5.1e5  19.6   258*    101  JPL#30  
      1999 KW4           2002-May-25 21:50    00:01  34.6 0.0890 0.0888   22.74  < 1e-09  2.6e4  16.6   252      56  JPL#42  
 5604 1992 FE            2002-Jun-22 06:21 <  00:01  29.9 0.0768 0.0768   10.51  < 1e-09  9.5e4  16.4    48    6907  JPL#06  
 2101 Adonis             2002-Jun-29 17:50 <  00:01  62.7 0.1610 0.1610   29.51  < 1e-09  4.7e5  18.7    57*  21572  JPL#12  
      1998 WT            2002-Oct-17 05:52    09:32  39.8 0.1022 0.0946   21.16  < 1e-09  1.1e4  17.3    70      34  JPL#13  
      1997 XF11          2002-Oct-31 00:30    00:10  24.7 0.0635 0.0635   15.95  < 1e-09  3.3e3  17.0   147    2923  JPL#21  
 3362 Khufu              2002-Dec-25 02:14 <  00:01  58.3 0.1498 0.1498   15.97  < 1e-09  4.0e5  18.3   153    5216  JPL#06  
      1999 DB7           2003-Feb-11 13:22    00:28  72.7 0.1867 0.1863   10.92  < 1e-09  2.6e5  19.9    77     187  JPL#19  
 6489 Golevka            2003-May-20 16:08 <  00:01  35.9 0.0923 0.0923   12.36  < 1e-09  6.1e6  19.2   686*   3021  JPL#54  
      1998 FH12          2003-Jun-27 05:43    03:58  19.0 0.0489 0.0450   18.30  < 1e-09  1.0e3  19.0    44      66  JPL#01  
      1994 PM            2003-Aug-16 14:12    00:02   9.7 0.0250 0.0250   26.40  < 1e-09  2.1e5  17.5    94     678  JPL#03  
      1978 CA            2003-Aug-30        2/23:51  53.1 0.1364 0.0395   13.67  < 1e-09  9.4e3  18.0    48      32  JPL#09  
      1998 VS            2003-Sep-11        4/01:48  61.5 0.1580 0.1324    7.10  < 1e-09  1.0e5  21.9    53      32  JPL#08  
      1998 FG2           2003-Oct-22        1/00:26  13.4 0.0345 0.0328    9.51  < 1e-09  5.3e4  21.5   103      70  JPL#01  
      1989 UQ            2003-Oct-24 13:46    00:01  58.2 0.1496 0.1496    5.98  < 1e-09  1.8e5  19.0   114    2596  JPL#03  
      1990 OS            2003-Nov-10        2/08:02  11.8 0.0304 0.0224    9.08  < 1e-09  1.3e4  20.0    28*     13  JPL#07  
      1996 GT            2003-Nov-12 22:26    06:56  18.7 0.0480 0.0476    6.01  < 1e-09  5.7e3  18.5    26     720  JPL#02  
      1998 UT18          2003-Nov-28 20:37    00:46  25.5 0.0656 0.0651   10.95  < 1e-09  3.9e5  19.0   139     204  JPL#37  
      1996 JG            2003-Nov-30 18:38    00:15  55.2 0.1420 0.1417   24.31  < 1e-09  2.4e5  19.5   263*     20  JPL#11  
 3362 Khufu              2003-Dec-20 21:13 <  00:01  75.7 0.1946 0.1946   18.88  < 1e-09  4.2e5  18.3   153    5216  JPL#06  
      1995 CR            2004-Jan-01        2/19:05  30.7 0.0789 0.0626   31.17  < 1e-09  4.6e4  21.5   158      20  JPL#09  
 6239 Minos              2004-Feb-02 21:16 <  00:01  21.9 0.0564 0.0564   11.67  < 1e-09  1.8e5  17.9    57    5855  JPL#08  
      1999 DJ4           2004-Apr-20 10:10    11:44  22.7 0.0584 0.0573    9.07  < 1e-09  2.4e5  18.2   116     189  JPL#27  
      1993 KH            2004-Jun-14 01:01 <  00:01  51.2 0.1315 0.1315   10.72  < 1e-09  3.5e5  19.0    34    1672  JPL#03  
      1998 SF36          2004-Jun-25        1/20:28   5.3 0.0137 0.0129    5.95  < 1e-09  6.8e2  18.8    50      46  JPL#12  
      1999 MN            2004-Jul-11 02:32    20:33   6.7 0.0172 0.0170   15.20  < 1e-09  1.1e5  21.6    45      25  JPL#14  
 4179 Toutatis           2004-Sep-29 13:37 <  00:01   4.0 0.0104 0.0104   11.00  < 1e-09  1.0e6  15.3   711*   3216  JPL#69  
      1998 ST27          2004-Oct-09 11:27    01:47  47.0 0.1207 0.1189   20.39  < 1e-09  4.2e2  19.5    79      27  JPL#16  
      1998 WT24          2004-Nov-12 02:11    06:47  37.5 0.0964 0.0913   10.92  < 1e-09  9.2e3  17.7    43      33  JPL#11  
