,Name,NAIF ID Number,Classification,Records,Link,Distance
Comet,148P/Anderson-LINEAR 1 (1963 W1),1000328,JFc,3,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1000328.shtml#top,2 < TJupiter < 3
Comet,50P/Arend 1 (1951 T1),1000001,JFc,2,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1000001.shtml#top,2 < TJupiter < 3
Comet,49P/Arend-Rigaux 1 (1951 C2),1000002,JFc,4,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1000002.shtml#top,2 < TJupiter < 3
Comet,47P/Ashbrook-Jackson 1 (1948 Q1),1000003,JFc,2,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1000003.shtml#top,2 < TJupiter < 3
Comet,19P/Borrelly 1 (1904 Y2),1000005,JFc,2,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1000005.shtml#top,2 < TJupiter < 3
Comet,16P/Brooks 2 (1889 N1),1000008,JFc,3,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1000008.shtml#top,2 < TJupiter < 3
Comet,P/Broughton 1 (2005 T5),1001674,JFc,3,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1001674.shtml#top,2 < TJupiter < 3
Comet,C/Cardinal (2008 T2),1003000,HYP,3,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1003000.shtml#top,e > 1.0
Comet,P/Catalina 3 (2005 JQ5),1000567,JFc,2,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1000567.shtml#top,2 < TJupiter < 3
Comet,P/Catalina-NEAT 1 (2005 JD108),1001650,JFc,3,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1001650.shtml#top,2 < TJupiter < 3
Comet,101P/Chernykh 1 (1977 Q1),1000011,JFc,3,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1000011.shtml#top,2 < TJupiter < 3
Comet,95P/Chiron (1977 UB),2002060,CEN,7,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/2002060.shtml#top,5.5 AU < a < 30.1 AU
Comet,210P/Christensen 1 (2003 K2),1000440,JFc,2,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1000440.shtml#top,2 < TJupiter < 3
Comet,286P/Christensen 3 (2005 L4),1001646,JFc,2,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1001646.shtml#top,2 < TJupiter < 3
Comet,P/Christensen 7 (2005 W2),1001678,JFc,3,https://pdssbn.astro.umd.edu/data_other/sptz_01_COMET/1001678.shtml#top,2 < TJupiter < 3
